Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","Devclub - Responsive Website Template - Responsive Website Templates - Pro Website Templates - DreamTemplate","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html","../www.dreamtemplate.com\templates\7596\devclub---responsive-website-template.html","HTML","56580","","200 OK","0",""
"Parsed","","http://www.dreamtemplate.com/templates/layout3/js12/cufon-yui.js","../www.dreamtemplate.com\templates\layout3\js12\cufon-yui.js","HTML","18264","Thu, 26 Jan 2012 06:32:24 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Parsed","","https://www.dreamtemplate.com/templates/layout3/style12.css","../www.dreamtemplate.com\templates\layout3\style12.css","HTML","27268","Tue, 29 Nov 2016 12:46:27 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Parsed","","https://www.dreamtemplate.com/templates/layout3/menusm.css","../www.dreamtemplate.com\templates\layout3\menusm.css","HTML","6518","Wed, 28 May 2014 15:49:18 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Parsed","","https://www.dreamtemplate.com/templates/layout3/js12/jquery-1.7.1.min.js","../www.dreamtemplate.com\templates\layout3\js12\jquery-1.7.1.min.js","HTML","93870","Thu, 26 Jan 2012 06:32:32 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Parsed","","https://www.dreamtemplate.com/common/hover.js","../www.dreamtemplate.com\common\hover.js","HTML","1169","Mon, 04 Mar 2013 11:20:58 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Parsed","","https://www.dreamtemplate.com/common/misc.js","../www.dreamtemplate.com\common\misc.js","HTML","772","Tue, 03 Mar 2009 09:08:52 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Parsed","","https://www.dreamtemplate.com/templates/layout3/js12/menusm.js","../www.dreamtemplate.com\templates\layout3\js12\menusm.js","HTML","4016","Fri, 27 Jan 2012 20:08:12 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Parsed","","https://www.dreamtemplate.com/templates/layout3/js12/scripts.js","../www.dreamtemplate.com\templates\layout3\js12\scripts.js","HTML","1137","Tue, 04 Mar 2014 18:23:17 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Saved","","http://www.dreamtemplate.com/templates/layout3/images12/spacer.gif","../www.dreamtemplate.com\templates\layout3\images12\spacer.gif","Images","43","Thu, 26 Jan 2012 06:31:08 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
"Saved","","http://www.dreamtemplate.com/templates/layout3/images12/search1.png","../www.dreamtemplate.com\templates\layout3\images12\search1.png","Images","1288","Thu, 26 Jan 2012 06:30:16 GMT","200 OK","1","http://www.dreamtemplate.com/templates/7596/devclub---responsive-website-template.html"
